RGN,UPRN_count,Year,name
E12000001,1261854,2020,North East
E12000001,1260514,2021,North East
E12000001,1271265,2022,North East
E12000001,1280179,2023,North East
E12000001,1289158,2024,North East
E12000002,3450262,2020,North West
E12000002,3489259,2021,North West
E12000002,3517773,2022,North West
E12000002,3547258,2023,North West
E12000002,3578607,2024,North West
E12000003,2560923,2020,Yorkshire and the Humber
E12000003,2593447,2021,Yorkshire and the Humber
E12000003,2621809,2022,Yorkshire and the Humber
E12000003,2641900,2023,Yorkshire and the Humber
E12000003,2656937,2024,Yorkshire and the Humber
E12000004,2211344,2020,East Midlands
E12000004,2236991,2021,East Midlands
E12000004,2267259,2022,East Midlands
E12000004,2298056,2023,East Midlands
E12000004,2321704,2024,East Midlands
E12000005,2592440,2020,West Midlands
E12000005,2607354,2021,West Midlands
E12000005,2635454,2022,West Midlands
E12000005,2671740,2023,West Midlands
E12000005,2706661,2024,West Midlands
E12000006,2799923,2020,East
E12000006,2831214,2021,East
E12000006,2870930,2022,East
E12000006,2903384,2023,East
E12000006,2933545,2024,East
E12000007,3809679,2020,London
E12000007,3843286,2021,London
E12000007,3885724,2022,London
E12000007,3922927,2023,London
E12000007,3956041,2024,London
E12000008,4094816,2020,South East
E12000008,4137899,2021,South East
E12000008,4182267,2022,South East
E12000008,4222835,2023,South East
E12000008,4262841,2024,South East
E12000009,2680640,2020,South West
E12000009,2701717,2021,South West
E12000009,2731690,2022,South West
E12000009,2753407,2023,South West
E12000009,2780150,2024,South West
